name	type	units
FP1	n/a	n/a
FP2	n/a	n/a
F3	n/a	n/a
F4	n/a	n/a
C3	n/a	n/a
C4	n/a	n/a
P3	n/a	n/a
P4	n/a	n/a
O1	n/a	n/a
O2	n/a	n/a
F7	n/a	n/a
F8	n/a	n/a
T3	n/a	n/a
T4	n/a	n/a
T5	n/a	n/a
T6	n/a	n/a
FZ	n/a	n/a
PZ	n/a	n/a
T5'	n/a	n/a
T6'	n/a	n/a
O1'	n/a	n/a
O2'	n/a	n/a
P3"	n/a	n/a
P4"	n/a	n/a
PZ"	n/a	n/a
OZ	n/a	n/a
I	n/a	n/a
CB1"	n/a	n/a
CB2"	n/a	n/a
CB1	n/a	n/a
CB2	n/a	n/a
