onset	duration	sample	trial_type	response_time	stim_file	value	HED
2.6480000000	n/a	n/a	stimulus	n/a	286080.jpg	nonanimal_distractor	n/a
4.8440000000	n/a	n/a	stimulus	416	11002.jpg	nonanimal_target	n/a
5.2600000000	n/a	n/a	response	n/a	n/a	correct	n/a
6.7200000000	n/a	n/a	stimulus	393	11002.jpg	nonanimal_target	n/a
7.1130000000	n/a	n/a	response	n/a	n/a	correct	n/a
8.7570000000	n/a	n/a	stimulus	299	11002.jpg	nonanimal_target	n/a
9.0560000000	n/a	n/a	response	n/a	n/a	correct	n/a
10.6800000000	n/a	n/a	stimulus	339	11002.jpg	nonanimal_target	n/a
11.0190000000	n/a	n/a	response	n/a	n/a	correct	n/a
12.5450000000	n/a	n/a	stimulus	418	98013.jpg	nonanimal_distractor	n/a
12.9630000000	n/a	n/a	response	n/a	n/a	incorrect	n/a
14.5240000000	n/a	n/a	stimulus	n/a	82030.jpg	nonanimal_distractor	n/a
16.7220000000	n/a	n/a	stimulus	n/a	217039.jpg	nonanimal_distractor	n/a
18.7080000000	n/a	n/a	stimulus	457	11002.jpg	nonanimal_target	n/a
19.1650000000	n/a	n/a	response	n/a	n/a	correct	n/a
20.8510000000	n/a	n/a	stimulus	299	11002.jpg	nonanimal_target	n/a
21.1500000000	n/a	n/a	response	n/a	n/a	correct	n/a
22.9590000000	n/a	n/a	stimulus	321	11002.jpg	nonanimal_target	n/a
23.2800000000	n/a	n/a	response	n/a	n/a	correct	n/a
25.0670000000	n/a	n/a	stimulus	362	11002.jpg	nonanimal_target	n/a
25.4290000000	n/a	n/a	response	n/a	n/a	correct	n/a
27.2140000000	n/a	n/a	stimulus	292	11002.jpg	nonanimal_target	n/a
27.5060000000	n/a	n/a	response	n/a	n/a	correct	n/a
29.0870000000	n/a	n/a	stimulus	351	11002.jpg	nonanimal_target	n/a
29.4380000000	n/a	n/a	response	n/a	n/a	correct	n/a
30.9550000000	n/a	n/a	stimulus	314	11002.jpg	nonanimal_target	n/a
31.2690000000	n/a	n/a	response	n/a	n/a	correct	n/a
33.1550000000	n/a	n/a	stimulus	n/a	138053.jpg	nonanimal_distractor	n/a
35.2620000000	n/a	n/a	stimulus	392	11002.jpg	nonanimal_target	n/a
35.6540000000	n/a	n/a	response	n/a	n/a	correct	n/a
37.2720000000	n/a	n/a	stimulus	331	11002.jpg	nonanimal_target	n/a
37.6030000000	n/a	n/a	response	n/a	n/a	correct	n/a
39.3490000000	n/a	n/a	stimulus	n/a	27000.jpg	nonanimal_distractor	n/a
41.2040000000	n/a	n/a	stimulus	394	11002.jpg	nonanimal_target	n/a
41.5980000000	n/a	n/a	response	n/a	n/a	correct	n/a
43.3060000000	n/a	n/a	stimulus	329	11002.jpg	nonanimal_target	n/a
43.6350000000	n/a	n/a	response	n/a	n/a	correct	n/a
45.4540000000	n/a	n/a	stimulus	354	11002.jpg	nonanimal_target	n/a
45.8080000000	n/a	n/a	response	n/a	n/a	correct	n/a
47.6420000000	n/a	n/a	stimulus	n/a	97072.jpg	nonanimal_distractor	n/a
49.6540000000	n/a	n/a	stimulus	n/a	115093.jpg	nonanimal_distractor	n/a
51.5460000000	n/a	n/a	stimulus	425	11002.jpg	nonanimal_target	n/a
51.9710000000	n/a	n/a	response	n/a	n/a	correct	n/a
53.4330000000	n/a	n/a	stimulus	n/a	50097.jpg	nonanimal_distractor	n/a
55.2760000000	n/a	n/a	stimulus	n/a	318004.jpg	nonanimal_distractor	n/a
57.3370000000	n/a	n/a	stimulus	369	61014.jpg	nonanimal_distractor	n/a
57.7060000000	n/a	n/a	response	n/a	n/a	incorrect	n/a
59.2890000000	n/a	n/a	stimulus	n/a	71097.jpg	nonanimal_distractor	n/a
61.4300000000	n/a	n/a	stimulus	n/a	412053.jpg	nonanimal_distractor	n/a
63.5630000000	n/a	n/a	stimulus	n/a	44028.jpg	nonanimal_distractor	n/a
65.6190000000	n/a	n/a	stimulus	n/a	102099.jpg	nonanimal_distractor	n/a
67.5000000000	n/a	n/a	stimulus	n/a	102036.jpg	nonanimal_distractor	n/a
69.7080000000	n/a	n/a	stimulus	361	11002.jpg	nonanimal_target	n/a
70.0690000000	n/a	n/a	response	n/a	n/a	correct	n/a
71.7010000000	n/a	n/a	stimulus	372	11002.jpg	nonanimal_target	n/a
72.0730000000	n/a	n/a	response	n/a	n/a	correct	n/a
73.6720000000	n/a	n/a	stimulus	n/a	121029.jpg	nonanimal_distractor	n/a
75.6350000000	n/a	n/a	stimulus	528	11002.jpg	nonanimal_target	n/a
76.1630000000	n/a	n/a	response	n/a	n/a	correct	n/a
77.7310000000	n/a	n/a	stimulus	557	11002.jpg	nonanimal_target	n/a
78.2880000000	n/a	n/a	response	n/a	n/a	correct	n/a
79.8680000000	n/a	n/a	stimulus	373	11002.jpg	nonanimal_target	n/a
80.2410000000	n/a	n/a	response	n/a	n/a	correct	n/a
81.7580000000	n/a	n/a	stimulus	n/a	363002.jpg	nonanimal_distractor	n/a
83.8570000000	n/a	n/a	stimulus	525	11002.jpg	nonanimal_target	n/a
84.3820000000	n/a	n/a	response	n/a	n/a	correct	n/a
85.7510000000	n/a	n/a	stimulus	448	11002.jpg	nonanimal_target	n/a
86.1990000000	n/a	n/a	response	n/a	n/a	correct	n/a
87.6880000000	n/a	n/a	stimulus	301	11002.jpg	nonanimal_target	n/a
87.9890000000	n/a	n/a	response	n/a	n/a	correct	n/a
89.6950000000	n/a	n/a	stimulus	n/a	208044.jpg	nonanimal_distractor	n/a
91.7230000000	n/a	n/a	stimulus	n/a	46024.jpg	nonanimal_distractor	n/a
93.6720000000	n/a	n/a	stimulus	n/a	281027.jpg	nonanimal_distractor	n/a
95.7450000000	n/a	n/a	stimulus	465	11002.jpg	nonanimal_target	n/a
96.2100000000	n/a	n/a	response	n/a	n/a	correct	n/a
97.6760000000	n/a	n/a	stimulus	377	11002.jpg	nonanimal_target	n/a
98.0530000000	n/a	n/a	response	n/a	n/a	correct	n/a
99.8740000000	n/a	n/a	stimulus	287	267065.jpg	nonanimal_distractor	n/a
100.1610000000	n/a	n/a	response	n/a	n/a	incorrect	n/a
101.8650000000	n/a	n/a	stimulus	342	11002.jpg	nonanimal_target	n/a
102.2070000000	n/a	n/a	response	n/a	n/a	correct	n/a
103.9320000000	n/a	n/a	stimulus	n/a	142096.jpg	nonanimal_distractor	n/a
105.7450000000	n/a	n/a	stimulus	418	11002.jpg	nonanimal_target	n/a
106.1630000000	n/a	n/a	response	n/a	n/a	correct	n/a
107.6130000000	n/a	n/a	stimulus	n/a	2088.jpg	nonanimal_distractor	n/a
109.5980000000	n/a	n/a	stimulus	n/a	92087.jpg	nonanimal_distractor	n/a
111.4620000000	n/a	n/a	stimulus	n/a	65106.jpg	nonanimal_distractor	n/a
113.5810000000	n/a	n/a	stimulus	509	11002.jpg	nonanimal_target	n/a
114.0900000000	n/a	n/a	response	n/a	n/a	correct	n/a
115.6350000000	n/a	n/a	stimulus	n/a	334034.jpg	nonanimal_distractor	n/a
117.7120000000	n/a	n/a	stimulus	505	11002.jpg	nonanimal_target	n/a
118.2170000000	n/a	n/a	response	n/a	n/a	correct	n/a
119.8340000000	n/a	n/a	stimulus	376	11002.jpg	nonanimal_target	n/a
120.2100000000	n/a	n/a	response	n/a	n/a	correct	n/a
121.8260000000	n/a	n/a	stimulus	n/a	86038.jpg	nonanimal_distractor	n/a
123.9540000000	n/a	n/a	stimulus	n/a	65123.jpg	nonanimal_distractor	n/a
126.0500000000	n/a	n/a	stimulus	n/a	385003.jpg	nonanimal_distractor	n/a
128.1680000000	n/a	n/a	stimulus	332	11002.jpg	nonanimal_target	n/a
128.5000000000	n/a	n/a	response	n/a	n/a	correct	n/a
130.0210000000	n/a	n/a	stimulus	288	11002.jpg	nonanimal_target	n/a
130.3090000000	n/a	n/a	response	n/a	n/a	correct	n/a
132.1370000000	n/a	n/a	stimulus	n/a	191040.jpg	nonanimal_distractor	n/a
133.9600000000	n/a	n/a	stimulus	n/a	332084.jpg	nonanimal_distractor	n/a
135.8880000000	n/a	n/a	stimulus	525	11002.jpg	nonanimal_target	n/a
136.4130000000	n/a	n/a	response	n/a	n/a	correct	n/a
137.9670000000	n/a	n/a	stimulus	n/a	102023.jpg	nonanimal_distractor	n/a
139.9340000000	n/a	n/a	stimulus	n/a	242052.jpg	nonanimal_distractor	n/a
141.8670000000	n/a	n/a	stimulus	381	11002.jpg	nonanimal_target	n/a
142.2480000000	n/a	n/a	response	n/a	n/a	correct	n/a
143.9670000000	n/a	n/a	stimulus	n/a	275092.jpg	nonanimal_distractor	n/a
145.7840000000	n/a	n/a	stimulus	321	11002.jpg	nonanimal_target	n/a
146.1050000000	n/a	n/a	response	n/a	n/a	correct	n/a
147.6130000000	n/a	n/a	stimulus	n/a	227089.jpg	nonanimal_distractor	n/a
149.7600000000	n/a	n/a	stimulus	n/a	2016.jpg	nonanimal_distractor	n/a
151.5860000000	n/a	n/a	stimulus	n/a	33025.jpg	nonanimal_distractor	n/a
153.4660000000	n/a	n/a	stimulus	n/a	93024.jpg	nonanimal_distractor	n/a
155.3970000000	n/a	n/a	stimulus	380	11002.jpg	nonanimal_target	n/a
155.7770000000	n/a	n/a	response	n/a	n/a	correct	n/a
157.4100000000	n/a	n/a	stimulus	n/a	48014.jpg	nonanimal_distractor	n/a
159.5040000000	n/a	n/a	stimulus	n/a	13054.jpg	nonanimal_distractor	n/a
161.3810000000	n/a	n/a	stimulus	504	11002.jpg	nonanimal_target	n/a
161.8850000000	n/a	n/a	response	n/a	n/a	correct	n/a
163.2810000000	n/a	n/a	stimulus	424	11002.jpg	nonanimal_target	n/a
163.7050000000	n/a	n/a	response	n/a	n/a	correct	n/a
165.1070000000	n/a	n/a	stimulus	314	11002.jpg	nonanimal_target	n/a
165.4210000000	n/a	n/a	response	n/a	n/a	correct	n/a
167.0200000000	n/a	n/a	stimulus	305	11002.jpg	nonanimal_target	n/a
167.3250000000	n/a	n/a	response	n/a	n/a	correct	n/a
169.0810000000	n/a	n/a	stimulus	n/a	72031.jpg	nonanimal_distractor	n/a
170.9840000000	n/a	n/a	stimulus	n/a	27072.jpg	nonanimal_distractor	n/a
172.8390000000	n/a	n/a	stimulus	n/a	248039.jpg	nonanimal_distractor	n/a
175.0480000000	n/a	n/a	stimulus	497	11002.jpg	nonanimal_target	n/a
175.5450000000	n/a	n/a	response	n/a	n/a	correct	n/a
176.9620000000	n/a	n/a	stimulus	806	11002.jpg	nonanimal_target	n/a
177.7680000000	n/a	n/a	response	n/a	n/a	correct	n/a
179.0780000000	n/a	n/a	stimulus	376	11002.jpg	nonanimal_target	n/a
179.4540000000	n/a	n/a	response	n/a	n/a	correct	n/a
181.2580000000	n/a	n/a	stimulus	311	11002.jpg	nonanimal_target	n/a
181.5690000000	n/a	n/a	response	n/a	n/a	correct	n/a
183.4540000000	n/a	n/a	stimulus	368	11002.jpg	nonanimal_target	n/a
183.8220000000	n/a	n/a	response	n/a	n/a	correct	n/a
185.6430000000	n/a	n/a	stimulus	285	11002.jpg	nonanimal_target	n/a
185.9280000000	n/a	n/a	response	n/a	n/a	correct	n/a
187.8280000000	n/a	n/a	stimulus	n/a	48098.jpg	nonanimal_distractor	n/a
189.9800000000	n/a	n/a	stimulus	n/a	208058.jpg	nonanimal_distractor	n/a
192.0790000000	n/a	n/a	stimulus	410	11002.jpg	nonanimal_target	n/a
192.4890000000	n/a	n/a	response	n/a	n/a	correct	n/a
194.1670000000	n/a	n/a	stimulus	332	11002.jpg	nonanimal_target	n/a
194.4990000000	n/a	n/a	response	n/a	n/a	correct	n/a
196.0550000000	n/a	n/a	stimulus	n/a	281013.jpg	nonanimal_distractor	n/a
198.2240000000	n/a	n/a	stimulus	n/a	5025.jpg	nonanimal_distractor	n/a
200.3270000000	n/a	n/a	stimulus	n/a	363099.jpg	nonanimal_distractor	n/a
202.1740000000	n/a	n/a	stimulus	n/a	266074.jpg	nonanimal_distractor	n/a
