onset	duration	sample	trial_type	response_time	stim_file	value	HED
2.6900000000	n/a	n/a	stimulus	n/a	83067.jpg	animal_distractor	n/a
4.6340000000	n/a	n/a	stimulus	n/a	86015.jpg	animal_distractor	n/a
6.5710000000	n/a	n/a	stimulus	329	253015.jpg	animal_target	n/a
6.9000000000	n/a	n/a	response	n/a	n/a	correct	n/a
8.4910000000	n/a	n/a	stimulus	409	134061.jpg	animal_target	n/a
8.9000000000	n/a	n/a	response	n/a	n/a	correct	n/a
10.3910000000	n/a	n/a	stimulus	281	105003.jpg	animal_target	n/a
10.6720000000	n/a	n/a	response	n/a	n/a	correct	n/a
12.3840000000	n/a	n/a	stimulus	293	19041.jpg	animal_target	n/a
12.6770000000	n/a	n/a	response	n/a	n/a	correct	n/a
14.2080000000	n/a	n/a	stimulus	288	83073.jpg	animal_distractor	n/a
14.4960000000	n/a	n/a	response	n/a	n/a	incorrect	n/a
16.2440000000	n/a	n/a	stimulus	n/a	74052.jpg	animal_distractor	n/a
18.3910000000	n/a	n/a	stimulus	352	108064.jpg	animal_target	n/a
18.7430000000	n/a	n/a	response	n/a	n/a	correct	n/a
20.2740000000	n/a	n/a	stimulus	n/a	111001.jpg	animal_distractor	n/a
22.3940000000	n/a	n/a	stimulus	n/a	158099.jpg	animal_distractor	n/a
24.3370000000	n/a	n/a	stimulus	320	159002.jpg	animal_target	n/a
24.6570000000	n/a	n/a	response	n/a	n/a	correct	n/a
26.1880000000	n/a	n/a	stimulus	n/a	19005.jpg	animal_distractor	n/a
28.2480000000	n/a	n/a	stimulus	n/a	318014.jpg	animal_distractor	n/a
30.1720000000	n/a	n/a	stimulus	307	326016.jpg	animal_target	n/a
30.4790000000	n/a	n/a	response	n/a	n/a	correct	n/a
32.0720000000	n/a	n/a	stimulus	n/a	32071.jpg	animal_distractor	n/a
33.9730000000	n/a	n/a	stimulus	n/a	27001.jpg	animal_distractor	n/a
36.1180000000	n/a	n/a	stimulus	n/a	56038.jpg	animal_distractor	n/a
