onset	duration	sample	trial_type	response_time	stim_file	value	HED
2.5370000000	n/a	n/a	stimulus	779	23064.jpg	difficult_target	n/a
3.3160000000	n/a	n/a	response	n/a	n/a	correct	n/a
4.7020000000	n/a	n/a	stimulus	n/a	208087.jpg	difficult_distractor	n/a
6.7830000000	n/a	n/a	stimulus	n/a	143016.jpg	difficult_distractor	n/a
8.6140000000	n/a	n/a	stimulus	n/a	101086.jpg	difficult_distractor	n/a
10.4920000000	n/a	n/a	stimulus	366	23064.jpg	difficult_target	n/a
10.8580000000	n/a	n/a	response	n/a	n/a	correct	n/a
12.4730000000	n/a	n/a	stimulus	360	23064.jpg	difficult_target	n/a
12.8330000000	n/a	n/a	response	n/a	n/a	correct	n/a
14.6720000000	n/a	n/a	stimulus	n/a	267011.jpg	difficult_distractor	n/a
16.5350000000	n/a	n/a	stimulus	371	23064.jpg	difficult_target	n/a
16.9060000000	n/a	n/a	response	n/a	n/a	correct	n/a
18.3680000000	n/a	n/a	stimulus	n/a	147095.jpg	difficult_distractor	n/a
20.4440000000	n/a	n/a	stimulus	330	23064.jpg	difficult_target	n/a
20.7740000000	n/a	n/a	response	n/a	n/a	correct	n/a
22.4250000000	n/a	n/a	stimulus	n/a	111058.jpg	difficult_distractor	n/a
24.3230000000	n/a	n/a	stimulus	n/a	67063.jpg	difficult_distractor	n/a
26.2490000000	n/a	n/a	stimulus	337	23064.jpg	difficult_target	n/a
26.5860000000	n/a	n/a	response	n/a	n/a	correct	n/a
28.3570000000	n/a	n/a	stimulus	n/a	61029.jpg	difficult_distractor	n/a
30.2320000000	n/a	n/a	stimulus	n/a	250066.jpg	difficult_distractor	n/a
32.3100000000	n/a	n/a	stimulus	n/a	111004.jpg	difficult_distractor	n/a
34.4330000000	n/a	n/a	stimulus	n/a	36196.jpg	difficult_distractor	n/a
36.6000000000	n/a	n/a	stimulus	n/a	44021.jpg	difficult_distractor	n/a
38.5910000000	n/a	n/a	stimulus	384	23064.jpg	difficult_target	n/a
38.9750000000	n/a	n/a	response	n/a	n/a	correct	n/a
40.5300000000	n/a	n/a	stimulus	n/a	98029.jpg	difficult_distractor	n/a
42.4210000000	n/a	n/a	stimulus	471	23064.jpg	difficult_target	n/a
42.8920000000	n/a	n/a	response	n/a	n/a	correct	n/a
44.3690000000	n/a	n/a	stimulus	321	23064.jpg	difficult_target	n/a
44.6900000000	n/a	n/a	response	n/a	n/a	correct	n/a
46.4240000000	n/a	n/a	stimulus	n/a	13038.jpg	difficult_distractor	n/a
48.2750000000	n/a	n/a	stimulus	n/a	86093.jpg	difficult_distractor	n/a
50.2780000000	n/a	n/a	stimulus	395	23064.jpg	difficult_target	n/a
50.6730000000	n/a	n/a	response	n/a	n/a	correct	n/a
52.1970000000	n/a	n/a	stimulus	n/a	172094.jpg	difficult_distractor	n/a
54.3050000000	n/a	n/a	stimulus	375	23064.jpg	difficult_target	n/a
54.6800000000	n/a	n/a	response	n/a	n/a	correct	n/a
56.3140000000	n/a	n/a	stimulus	353	23064.jpg	difficult_target	n/a
56.6670000000	n/a	n/a	response	n/a	n/a	correct	n/a
58.1490000000	n/a	n/a	stimulus	n/a	257041.jpg	difficult_distractor	n/a
60.1280000000	n/a	n/a	stimulus	373	23064.jpg	difficult_target	n/a
60.5010000000	n/a	n/a	response	n/a	n/a	correct	n/a
62.0060000000	n/a	n/a	stimulus	n/a	86075.jpg	difficult_distractor	n/a
64.2030000000	n/a	n/a	stimulus	n/a	286002.jpg	difficult_distractor	n/a
66.2060000000	n/a	n/a	stimulus	n/a	93012.jpg	difficult_distractor	n/a
68.2550000000	n/a	n/a	stimulus	351	23064.jpg	difficult_target	n/a
68.6060000000	n/a	n/a	response	n/a	n/a	correct	n/a
70.0740000000	n/a	n/a	stimulus	399	23064.jpg	difficult_target	n/a
70.4730000000	n/a	n/a	response	n/a	n/a	correct	n/a
72.0280000000	n/a	n/a	stimulus	314	23064.jpg	difficult_target	n/a
72.3420000000	n/a	n/a	response	n/a	n/a	correct	n/a
73.9290000000	n/a	n/a	stimulus	282	23064.jpg	difficult_target	n/a
74.2110000000	n/a	n/a	response	n/a	n/a	correct	n/a
75.8220000000	n/a	n/a	stimulus	n/a	151072.jpg	difficult_distractor	n/a
77.6940000000	n/a	n/a	stimulus	467	23064.jpg	difficult_target	n/a
78.1610000000	n/a	n/a	response	n/a	n/a	correct	n/a
79.8230000000	n/a	n/a	stimulus	560	23064.jpg	difficult_target	n/a
80.3830000000	n/a	n/a	response	n/a	n/a	correct	n/a
81.9770000000	n/a	n/a	stimulus	n/a	2084.jpg	difficult_distractor	n/a
83.9750000000	n/a	n/a	stimulus	425	23064.jpg	difficult_target	n/a
84.4000000000	n/a	n/a	response	n/a	n/a	correct	n/a
85.9430000000	n/a	n/a	stimulus	n/a	11081.jpg	difficult_distractor	n/a
88.0430000000	n/a	n/a	stimulus	352	23064.jpg	difficult_target	n/a
88.3950000000	n/a	n/a	response	n/a	n/a	correct	n/a
90.2040000000	n/a	n/a	stimulus	n/a	131034.jpg	difficult_distractor	n/a
92.0450000000	n/a	n/a	stimulus	344	23064.jpg	difficult_target	n/a
92.3890000000	n/a	n/a	response	n/a	n/a	correct	n/a
94.2400000000	n/a	n/a	stimulus	n/a	174064.jpg	difficult_distractor	n/a
96.4430000000	n/a	n/a	stimulus	330	23064.jpg	difficult_target	n/a
96.7730000000	n/a	n/a	response	n/a	n/a	correct	n/a
98.5910000000	n/a	n/a	stimulus	n/a	250067.jpg	difficult_distractor	n/a
100.5270000000	n/a	n/a	stimulus	n/a	227096.jpg	difficult_distractor	n/a
102.4810000000	n/a	n/a	stimulus	344	23064.jpg	difficult_target	n/a
102.8250000000	n/a	n/a	response	n/a	n/a	correct	n/a
104.3500000000	n/a	n/a	stimulus	n/a	61001.jpg	difficult_distractor	n/a
106.4370000000	n/a	n/a	stimulus	332	23064.jpg	difficult_target	n/a
106.7690000000	n/a	n/a	response	n/a	n/a	correct	n/a
108.6430000000	n/a	n/a	stimulus	301	23064.jpg	difficult_target	n/a
108.9440000000	n/a	n/a	response	n/a	n/a	correct	n/a
110.5250000000	n/a	n/a	stimulus	382	23064.jpg	difficult_target	n/a
110.9070000000	n/a	n/a	response	n/a	n/a	correct	n/a
112.5320000000	n/a	n/a	stimulus	305	23064.jpg	difficult_target	n/a
112.8370000000	n/a	n/a	response	n/a	n/a	correct	n/a
114.4560000000	n/a	n/a	stimulus	n/a	46044.jpg	difficult_distractor	n/a
116.5480000000	n/a	n/a	stimulus	n/a	23064.jpg	difficult_target	n/a
118.5800000000	n/a	n/a	stimulus	376	23064.jpg	difficult_target	n/a
118.9560000000	n/a	n/a	response	n/a	n/a	correct	n/a
120.4950000000	n/a	n/a	stimulus	n/a	174021.jpg	difficult_distractor	n/a
122.5460000000	n/a	n/a	stimulus	347	23064.jpg	difficult_target	n/a
122.8930000000	n/a	n/a	response	n/a	n/a	correct	n/a
124.4450000000	n/a	n/a	stimulus	n/a	128079.jpg	difficult_distractor	n/a
126.3720000000	n/a	n/a	stimulus	n/a	184001.jpg	difficult_distractor	n/a
128.3080000000	n/a	n/a	stimulus	n/a	384009.jpg	difficult_distractor	n/a
130.1870000000	n/a	n/a	stimulus	324	23064.jpg	difficult_target	n/a
130.5110000000	n/a	n/a	response	n/a	n/a	correct	n/a
132.0130000000	n/a	n/a	stimulus	n/a	253050.jpg	difficult_distractor	n/a
134.1880000000	n/a	n/a	stimulus	376	23064.jpg	difficult_target	n/a
134.5640000000	n/a	n/a	response	n/a	n/a	correct	n/a
136.3860000000	n/a	n/a	stimulus	345	23064.jpg	difficult_target	n/a
136.7310000000	n/a	n/a	response	n/a	n/a	correct	n/a
138.4330000000	n/a	n/a	stimulus	305	23064.jpg	difficult_target	n/a
138.7380000000	n/a	n/a	response	n/a	n/a	correct	n/a
140.4100000000	n/a	n/a	stimulus	270	23064.jpg	difficult_target	n/a
140.6800000000	n/a	n/a	response	n/a	n/a	correct	n/a
142.6050000000	n/a	n/a	stimulus	299	23064.jpg	difficult_target	n/a
142.9040000000	n/a	n/a	response	n/a	n/a	correct	n/a
144.7710000000	n/a	n/a	stimulus	331	23064.jpg	difficult_target	n/a
145.1020000000	n/a	n/a	response	n/a	n/a	correct	n/a
146.6810000000	n/a	n/a	stimulus	306	23064.jpg	difficult_target	n/a
146.9870000000	n/a	n/a	response	n/a	n/a	correct	n/a
148.6750000000	n/a	n/a	stimulus	281	23064.jpg	difficult_target	n/a
148.9560000000	n/a	n/a	response	n/a	n/a	correct	n/a
150.7010000000	n/a	n/a	stimulus	n/a	158072.jpg	difficult_distractor	n/a
152.6620000000	n/a	n/a	stimulus	347	23064.jpg	difficult_target	n/a
153.0090000000	n/a	n/a	response	n/a	n/a	correct	n/a
154.7130000000	n/a	n/a	stimulus	n/a	285032.jpg	difficult_distractor	n/a
156.9060000000	n/a	n/a	stimulus	n/a	151031.jpg	difficult_distractor	n/a
159.0480000000	n/a	n/a	stimulus	354	23064.jpg	difficult_target	n/a
159.4020000000	n/a	n/a	response	n/a	n/a	correct	n/a
160.9130000000	n/a	n/a	stimulus	n/a	374096.jpg	difficult_distractor	n/a
162.9820000000	n/a	n/a	stimulus	347	23064.jpg	difficult_target	n/a
163.3290000000	n/a	n/a	response	n/a	n/a	correct	n/a
164.8560000000	n/a	n/a	stimulus	387	23064.jpg	difficult_target	n/a
165.2430000000	n/a	n/a	response	n/a	n/a	correct	n/a
166.6680000000	n/a	n/a	stimulus	n/a	334085.jpg	difficult_distractor	n/a
168.7270000000	n/a	n/a	stimulus	n/a	297069.jpg	difficult_distractor	n/a
170.7080000000	n/a	n/a	stimulus	329	23064.jpg	difficult_target	n/a
171.0370000000	n/a	n/a	response	n/a	n/a	correct	n/a
172.7730000000	n/a	n/a	stimulus	n/a	11022.jpg	difficult_distractor	n/a
174.9500000000	n/a	n/a	stimulus	n/a	48066.jpg	difficult_distractor	n/a
176.9340000000	n/a	n/a	stimulus	360	23064.jpg	difficult_target	n/a
177.2940000000	n/a	n/a	response	n/a	n/a	correct	n/a
178.9870000000	n/a	n/a	stimulus	n/a	98040.jpg	difficult_distractor	n/a
181.1720000000	n/a	n/a	stimulus	346	23064.jpg	difficult_target	n/a
181.5180000000	n/a	n/a	response	n/a	n/a	correct	n/a
183.1050000000	n/a	n/a	stimulus	n/a	83097.jpg	difficult_distractor	n/a
185.0860000000	n/a	n/a	stimulus	n/a	227016.jpg	difficult_distractor	n/a
187.1800000000	n/a	n/a	stimulus	n/a	138024.jpg	difficult_distractor	n/a
189.2530000000	n/a	n/a	stimulus	386	23064.jpg	difficult_target	n/a
189.6390000000	n/a	n/a	response	n/a	n/a	correct	n/a
191.2940000000	n/a	n/a	stimulus	476	23064.jpg	difficult_target	n/a
191.7700000000	n/a	n/a	response	n/a	n/a	correct	n/a
193.2600000000	n/a	n/a	stimulus	n/a	28046.jpg	difficult_distractor	n/a
195.1750000000	n/a	n/a	stimulus	n/a	72030.jpg	difficult_distractor	n/a
197.0350000000	n/a	n/a	stimulus	354	23064.jpg	difficult_target	n/a
197.3890000000	n/a	n/a	response	n/a	n/a	correct	n/a
198.9730000000	n/a	n/a	stimulus	n/a	142019.jpg	difficult_distractor	n/a
201.0100000000	n/a	n/a	stimulus	n/a	334056.jpg	difficult_distractor	n/a
