onset	duration	sample	trial_type	response_time	stim_file	value	HED
4.2860000000	n/a	n/a	stimulus	472	35100.jpg	animal_target	n/a
4.7580000000	n/a	n/a	response	n/a	n/a	correct	n/a
6.0890000000	n/a	n/a	stimulus	637	136035.jpg	animal_target	n/a
6.7260000000	n/a	n/a	response	n/a	n/a	correct	n/a
7.9030000000	n/a	n/a	stimulus	388	6041.jpg	animal_target	n/a
8.2910000000	n/a	n/a	response	n/a	n/a	correct	n/a
10.0490000000	n/a	n/a	stimulus	326	41039.jpg	animal_target	n/a
10.3750000000	n/a	n/a	response	n/a	n/a	correct	n/a
11.9320000000	n/a	n/a	stimulus	278	6010.jpg	animal_target	n/a
12.2100000000	n/a	n/a	response	n/a	n/a	correct	n/a
13.8430000000	n/a	n/a	stimulus	n/a	48009.jpg	animal_distractor	n/a
15.9140000000	n/a	n/a	stimulus	n/a	63074.jpg	animal_distractor	n/a
17.8430000000	n/a	n/a	stimulus	328	108094.jpg	animal_target	n/a
18.1710000000	n/a	n/a	response	n/a	n/a	correct	n/a
19.7090000000	n/a	n/a	stimulus	311	210000.jpg	animal_target	n/a
20.0200000000	n/a	n/a	response	n/a	n/a	correct	n/a
21.6590000000	n/a	n/a	stimulus	302	335041.jpg	animal_target	n/a
21.9610000000	n/a	n/a	response	n/a	n/a	correct	n/a
23.6310000000	n/a	n/a	stimulus	n/a	166063.jpg	animal_distractor	n/a
25.4650000000	n/a	n/a	stimulus	327	49019.jpg	animal_target	n/a
25.7920000000	n/a	n/a	response	n/a	n/a	correct	n/a
27.4570000000	n/a	n/a	stimulus	324	8146.jpg	animal_target	n/a
27.7810000000	n/a	n/a	response	n/a	n/a	correct	n/a
29.2950000000	n/a	n/a	stimulus	318	35096.jpg	animal_target	n/a
29.6130000000	n/a	n/a	response	n/a	n/a	correct	n/a
31.4450000000	n/a	n/a	stimulus	338	136066.jpg	animal_target	n/a
31.7830000000	n/a	n/a	response	n/a	n/a	correct	n/a
33.2780000000	n/a	n/a	stimulus	n/a	147011.jpg	animal_distractor	n/a
35.2050000000	n/a	n/a	stimulus	n/a	297037.jpg	animal_distractor	n/a
37.3800000000	n/a	n/a	stimulus	n/a	32097.jpg	animal_distractor	n/a
39.3360000000	n/a	n/a	stimulus	310	131002.jpg	animal_distractor	n/a
39.6460000000	n/a	n/a	response	n/a	n/a	incorrect	n/a
41.4550000000	n/a	n/a	stimulus	385	160004.jpg	animal_target	n/a
41.8400000000	n/a	n/a	response	n/a	n/a	correct	n/a
43.3950000000	n/a	n/a	stimulus	376	130022.jpg	animal_target	n/a
43.7710000000	n/a	n/a	response	n/a	n/a	correct	n/a
45.4840000000	n/a	n/a	stimulus	n/a	62017.jpg	animal_distractor	n/a
47.6310000000	n/a	n/a	stimulus	555	310018.jpg	animal_target	n/a
