onset	duration	sample	trial_type	response_time	stim_file	value	HED
5.3170000000	n/a	n/a	stimulus	n/a	363045.jpg	animal_distractor	n/a
7.4950000000	n/a	n/a	stimulus	531	210055.jpg	animal_target	n/a
8.0260000000	n/a	n/a	response	n/a	n/a	correct	n/a
9.6220000000	n/a	n/a	stimulus	234	104000.jpg	animal_target	n/a
9.8560000000	n/a	n/a	response	n/a	n/a	correct	n/a
11.5020000000	n/a	n/a	stimulus	350	83070.jpg	animal_distractor	n/a
11.8520000000	n/a	n/a	response	n/a	n/a	incorrect	n/a
13.5170000000	n/a	n/a	stimulus	n/a	138067.jpg	animal_distractor	n/a
15.6610000000	n/a	n/a	stimulus	n/a	138084.jpg	animal_distractor	n/a
17.6180000000	n/a	n/a	stimulus	n/a	279063.jpg	animal_distractor	n/a
19.4680000000	n/a	n/a	stimulus	n/a	209077.jpg	animal_target	n/a
21.5130000000	n/a	n/a	stimulus	259	38068.jpg	animal_distractor	n/a
21.7720000000	n/a	n/a	response	n/a	n/a	incorrect	n/a
23.3850000000	n/a	n/a	stimulus	n/a	144086.jpg	animal_distractor	n/a
25.2970000000	n/a	n/a	stimulus	n/a	112053.jpg	animal_target	n/a
27.3760000000	n/a	n/a	stimulus	n/a	49015.jpg	animal_target	n/a
29.2860000000	n/a	n/a	stimulus	235	158046.jpg	animal_distractor	n/a
29.5210000000	n/a	n/a	response	n/a	n/a	incorrect	n/a
31.1930000000	n/a	n/a	stimulus	n/a	82040.jpg	animal_distractor	n/a
33.1660000000	n/a	n/a	stimulus	n/a	2008.jpg	animal_distractor	n/a
35.1560000000	n/a	n/a	stimulus	n/a	28025.jpg	animal_distractor	n/a
37.0540000000	n/a	n/a	stimulus	n/a	297055.jpg	animal_distractor	n/a
39.2100000000	n/a	n/a	stimulus	n/a	279018.jpg	animal_distractor	n/a
41.1940000000	n/a	n/a	stimulus	n/a	102043.jpg	animal_distractor	n/a
43.3630000000	n/a	n/a	stimulus	n/a	378006.jpg	animal_target	n/a
45.4770000000	n/a	n/a	stimulus	n/a	374091.jpg	animal_distractor	n/a
47.4640000000	n/a	n/a	stimulus	n/a	116029.jpg	animal_distractor	n/a
49.6260000000	n/a	n/a	stimulus	n/a	378070.jpg	animal_target	n/a
51.7190000000	n/a	n/a	stimulus	n/a	124007.jpg	animal_distractor	n/a
53.8700000000	n/a	n/a	stimulus	n/a	67099.jpg	animal_distractor	n/a
55.8420000000	n/a	n/a	stimulus	n/a	102081.jpg	animal_distractor	n/a
57.7410000000	n/a	n/a	stimulus	449	268043.jpg	animal_target	n/a
58.1900000000	n/a	n/a	response	n/a	n/a	correct	n/a
59.8380000000	n/a	n/a	stimulus	n/a	116006.jpg	animal_distractor	n/a
61.8760000000	n/a	n/a	stimulus	n/a	168076.jpg	animal_target	n/a
63.8840000000	n/a	n/a	stimulus	n/a	5079.jpg	animal_distractor	n/a
65.9300000000	n/a	n/a	stimulus	n/a	132079.jpg	animal_distractor	n/a
67.9040000000	n/a	n/a	stimulus	n/a	73096.jpg	animal_distractor	n/a
69.8210000000	n/a	n/a	stimulus	366	136052.jpg	animal_target	n/a
70.1870000000	n/a	n/a	response	n/a	n/a	correct	n/a
71.6550000000	n/a	n/a	stimulus	432	104010.jpg	animal_target	n/a
