onset	duration	sample	trial_type	response_time	stim_file	value	HED
8.4630000000	n/a	n/a	stimulus	n/a	115093.jpg	nonanimal_distractor	n/a
10.5990000000	n/a	n/a	stimulus	404	161042.jpg	nonanimal_target	n/a
11.0030000000	n/a	n/a	response	n/a	n/a	correct	n/a
12.6770000000	n/a	n/a	stimulus	n/a	98013.jpg	nonanimal_distractor	n/a
14.7480000000	n/a	n/a	stimulus	388	161042.jpg	nonanimal_target	n/a
15.1360000000	n/a	n/a	response	n/a	n/a	correct	n/a
16.8680000000	n/a	n/a	stimulus	256	161042.jpg	nonanimal_target	n/a
17.1240000000	n/a	n/a	response	n/a	n/a	correct	n/a
18.9890000000	n/a	n/a	stimulus	331	161042.jpg	nonanimal_target	n/a
19.3200000000	n/a	n/a	response	n/a	n/a	correct	n/a
21.0850000000	n/a	n/a	stimulus	264	161042.jpg	nonanimal_target	n/a
21.3490000000	n/a	n/a	response	n/a	n/a	correct	n/a
23.0220000000	n/a	n/a	stimulus	284	161042.jpg	nonanimal_target	n/a
23.3060000000	n/a	n/a	response	n/a	n/a	correct	n/a
25.0960000000	n/a	n/a	stimulus	257	161042.jpg	nonanimal_target	n/a
25.3530000000	n/a	n/a	response	n/a	n/a	correct	n/a
27.2420000000	n/a	n/a	stimulus	n/a	2016.jpg	nonanimal_distractor	n/a
29.3660000000	n/a	n/a	stimulus	n/a	191040.jpg	nonanimal_distractor	n/a
31.3220000000	n/a	n/a	stimulus	320	161042.jpg	nonanimal_target	n/a
31.6420000000	n/a	n/a	response	n/a	n/a	correct	n/a
33.1630000000	n/a	n/a	stimulus	n/a	281013.jpg	nonanimal_distractor	n/a
35.0200000000	n/a	n/a	stimulus	359	161042.jpg	nonanimal_target	n/a
35.3790000000	n/a	n/a	response	n/a	n/a	correct	n/a
36.9530000000	n/a	n/a	stimulus	275	161042.jpg	nonanimal_target	n/a
37.2280000000	n/a	n/a	response	n/a	n/a	correct	n/a
38.9570000000	n/a	n/a	stimulus	241	161042.jpg	nonanimal_target	n/a
39.1980000000	n/a	n/a	response	n/a	n/a	correct	n/a
41.0990000000	n/a	n/a	stimulus	251	161042.jpg	nonanimal_target	n/a
41.3500000000	n/a	n/a	response	n/a	n/a	correct	n/a
43.2850000000	n/a	n/a	stimulus	270	161042.jpg	nonanimal_target	n/a
43.5550000000	n/a	n/a	response	n/a	n/a	correct	n/a
45.2170000000	n/a	n/a	stimulus	240	161042.jpg	nonanimal_target	n/a
45.4570000000	n/a	n/a	response	n/a	n/a	correct	n/a
47.2890000000	n/a	n/a	stimulus	n/a	13054.jpg	nonanimal_distractor	n/a
49.4940000000	n/a	n/a	stimulus	n/a	2088.jpg	nonanimal_distractor	n/a
51.4930000000	n/a	n/a	stimulus	412	161042.jpg	nonanimal_target	n/a
51.9050000000	n/a	n/a	response	n/a	n/a	correct	n/a
53.4400000000	n/a	n/a	stimulus	n/a	412053.jpg	nonanimal_distractor	n/a
55.4050000000	n/a	n/a	stimulus	n/a	46024.jpg	nonanimal_distractor	n/a
57.3950000000	n/a	n/a	stimulus	403	161042.jpg	nonanimal_target	n/a
57.7980000000	n/a	n/a	response	n/a	n/a	correct	n/a
59.3670000000	n/a	n/a	stimulus	361	161042.jpg	nonanimal_target	n/a
59.7280000000	n/a	n/a	response	n/a	n/a	correct	n/a
61.4910000000	n/a	n/a	stimulus	398	161042.jpg	nonanimal_target	n/a
61.8890000000	n/a	n/a	response	n/a	n/a	correct	n/a
63.5110000000	n/a	n/a	stimulus	n/a	138053.jpg	nonanimal_distractor	n/a
