onset	duration	sample	trial_type	response_time	stim_file	value	HED
8.9220000000	n/a	n/a	stimulus	422	336014.jpg	animal_target	n/a
9.3440000000	n/a	n/a	response	n/a	n/a	correct	n/a
10.7360000000	n/a	n/a	stimulus	n/a	48094.jpg	animal_distractor	n/a
12.6100000000	n/a	n/a	stimulus	305	75040.jpg	animal_target	n/a
12.9150000000	n/a	n/a	response	n/a	n/a	correct	n/a
14.6810000000	n/a	n/a	stimulus	367	43054.jpg	animal_target	n/a
15.0480000000	n/a	n/a	response	n/a	n/a	correct	n/a
16.8470000000	n/a	n/a	stimulus	n/a	38056.jpg	animal_distractor	n/a
18.8190000000	n/a	n/a	stimulus	410	163065.jpg	animal_target	n/a
19.2290000000	n/a	n/a	response	n/a	n/a	correct	n/a
20.7070000000	n/a	n/a	stimulus	336	335072.jpg	animal_target	n/a
21.0430000000	n/a	n/a	response	n/a	n/a	correct	n/a
22.8300000000	n/a	n/a	stimulus	312	107026.jpg	animal_target	n/a
23.1420000000	n/a	n/a	response	n/a	n/a	correct	n/a
24.9310000000	n/a	n/a	stimulus	359	104013.jpg	animal_target	n/a
25.2900000000	n/a	n/a	response	n/a	n/a	correct	n/a
26.9580000000	n/a	n/a	stimulus	337	326077.jpg	animal_target	n/a
27.2950000000	n/a	n/a	response	n/a	n/a	correct	n/a
29.1540000000	n/a	n/a	stimulus	338	268068.jpg	animal_target	n/a
29.4920000000	n/a	n/a	response	n/a	n/a	correct	n/a
31.2330000000	n/a	n/a	stimulus	n/a	279013.jpg	animal_distractor	n/a
33.3090000000	n/a	n/a	stimulus	n/a	116043.jpg	animal_distractor	n/a
35.3240000000	n/a	n/a	stimulus	400	8163.jpg	animal_target	n/a
35.7240000000	n/a	n/a	response	n/a	n/a	correct	n/a
37.4010000000	n/a	n/a	stimulus	326	108050.jpg	animal_target	n/a
37.7270000000	n/a	n/a	response	n/a	n/a	correct	n/a
39.5130000000	n/a	n/a	stimulus	299	68084.jpg	animal_distractor	n/a
39.8120000000	n/a	n/a	response	n/a	n/a	incorrect	n/a
41.5570000000	n/a	n/a	stimulus	n/a	102010.jpg	animal_distractor	n/a
43.4140000000	n/a	n/a	stimulus	n/a	138064.jpg	animal_distractor	n/a
45.2540000000	n/a	n/a	stimulus	n/a	19056.jpg	animal_distractor	n/a
47.2660000000	n/a	n/a	stimulus	467	268070.jpg	animal_target	n/a
47.7330000000	n/a	n/a	response	n/a	n/a	correct	n/a
49.4240000000	n/a	n/a	stimulus	444	307036.jpg	animal_target	n/a
49.8680000000	n/a	n/a	response	n/a	n/a	correct	n/a
51.2480000000	n/a	n/a	stimulus	n/a	19007.jpg	animal_distractor	n/a
53.1040000000	n/a	n/a	stimulus	382	188088.jpg	animal_target	n/a
53.4860000000	n/a	n/a	response	n/a	n/a	correct	n/a
55.2560000000	n/a	n/a	stimulus	n/a	194042.jpg	animal_distractor	n/a
57.3240000000	n/a	n/a	stimulus	347	6052.jpg	animal_target	n/a
57.6710000000	n/a	n/a	response	n/a	n/a	correct	n/a
59.5000000000	n/a	n/a	stimulus	n/a	248054.jpg	animal_distractor	n/a
61.6840000000	n/a	n/a	stimulus	310	173027.jpg	animal_target	n/a
61.9940000000	n/a	n/a	response	n/a	n/a	correct	n/a
63.5670000000	n/a	n/a	stimulus	n/a	19048.jpg	animal_distractor	n/a
65.7410000000	n/a	n/a	stimulus	n/a	27067.jpg	animal_distractor	n/a
67.5600000000	n/a	n/a	stimulus	n/a	63015.jpg	animal_distractor	n/a
69.3710000000	n/a	n/a	stimulus	449	19033.jpg	animal_target	n/a
69.8200000000	n/a	n/a	response	n/a	n/a	correct	n/a
71.4580000000	n/a	n/a	stimulus	580	336051.jpg	animal_target	n/a
72.0380000000	n/a	n/a	response	n/a	n/a	correct	n/a
73.5040000000	n/a	n/a	stimulus	402	8034.jpg	animal_target	n/a
73.9060000000	n/a	n/a	response	n/a	n/a	correct	n/a
75.4870000000	n/a	n/a	stimulus	319	66075.jpg	animal_target	n/a
75.8060000000	n/a	n/a	response	n/a	n/a	correct	n/a
77.4790000000	n/a	n/a	stimulus	n/a	13035.jpg	animal_distractor	n/a
79.3670000000	n/a	n/a	stimulus	n/a	138042.jpg	animal_distractor	n/a
81.4630000000	n/a	n/a	stimulus	n/a	174085.jpg	animal_target	n/a
83.5940000000	n/a	n/a	stimulus	n/a	124087.jpg	animal_distractor	n/a
85.8030000000	n/a	n/a	stimulus	435	136055.jpg	animal_target	n/a
86.2380000000	n/a	n/a	response	n/a	n/a	correct	n/a
87.8690000000	n/a	n/a	stimulus	441	240078.jpg	animal_target	n/a
88.3100000000	n/a	n/a	response	n/a	n/a	correct	n/a
89.7690000000	n/a	n/a	stimulus	423	173019.jpg	animal_target	n/a
90.1920000000	n/a	n/a	response	n/a	n/a	correct	n/a
91.7130000000	n/a	n/a	stimulus	n/a	86037.jpg	animal_distractor	n/a
93.5740000000	n/a	n/a	stimulus	n/a	35072.jpg	animal_target	n/a
95.7530000000	n/a	n/a	stimulus	495	35148.jpg	animal_target	n/a
96.2480000000	n/a	n/a	response	n/a	n/a	correct	n/a
97.5950000000	n/a	n/a	stimulus	n/a	2095.jpg	animal_distractor	n/a
99.5760000000	n/a	n/a	stimulus	268	123011.jpg	animal_target	n/a
99.8440000000	n/a	n/a	response	n/a	n/a	correct	n/a
101.4840000000	n/a	n/a	stimulus	n/a	32088.jpg	animal_distractor	n/a
103.5770000000	n/a	n/a	stimulus	n/a	194011.jpg	animal_distractor	n/a
105.7040000000	n/a	n/a	stimulus	n/a	124046.jpg	animal_distractor	n/a
107.5380000000	n/a	n/a	stimulus	490	62074.jpg	animal_distractor	n/a
108.0280000000	n/a	n/a	response	n/a	n/a	incorrect	n/a
109.4090000000	n/a	n/a	stimulus	459	75015.jpg	animal_target	n/a
109.8680000000	n/a	n/a	response	n/a	n/a	correct	n/a
111.3960000000	n/a	n/a	stimulus	536	100021.jpg	animal_target	n/a
111.9320000000	n/a	n/a	response	n/a	n/a	correct	n/a
113.3920000000	n/a	n/a	stimulus	n/a	166041.jpg	animal_distractor	n/a
115.5970000000	n/a	n/a	stimulus	386	317042.jpg	animal_target	n/a
115.9830000000	n/a	n/a	response	n/a	n/a	correct	n/a
117.7440000000	n/a	n/a	stimulus	n/a	67002.jpg	animal_distractor	n/a
119.8300000000	n/a	n/a	stimulus	n/a	56001.jpg	animal_distractor	n/a
121.9950000000	n/a	n/a	stimulus	410	310069.jpg	animal_target	n/a
122.4050000000	n/a	n/a	response	n/a	n/a	correct	n/a
123.9140000000	n/a	n/a	stimulus	351	378084.jpg	animal_target	n/a
124.2650000000	n/a	n/a	response	n/a	n/a	correct	n/a
125.9960000000	n/a	n/a	stimulus	372	185033.jpg	animal_target	n/a
126.3680000000	n/a	n/a	response	n/a	n/a	correct	n/a
128.0280000000	n/a	n/a	stimulus	376	268074.jpg	animal_target	n/a
128.4040000000	n/a	n/a	response	n/a	n/a	correct	n/a
130.0210000000	n/a	n/a	stimulus	367	317050.jpg	animal_target	n/a
130.3880000000	n/a	n/a	response	n/a	n/a	correct	n/a
132.1110000000	n/a	n/a	stimulus	313	111044.jpg	animal_distractor	n/a
132.4240000000	n/a	n/a	response	n/a	n/a	incorrect	n/a
134.0540000000	n/a	n/a	stimulus	n/a	44076.jpg	animal_distractor	n/a
136.1430000000	n/a	n/a	stimulus	n/a	69076.jpg	animal_distractor	n/a
138.2960000000	n/a	n/a	stimulus	n/a	67056.jpg	animal_distractor	n/a
140.1540000000	n/a	n/a	stimulus	n/a	374086.jpg	animal_distractor	n/a
141.9930000000	n/a	n/a	stimulus	n/a	174090.jpg	animal_distractor	n/a
143.9100000000	n/a	n/a	stimulus	593	103000.jpg	animal_target	n/a
144.5030000000	n/a	n/a	response	n/a	n/a	correct	n/a
146.0140000000	n/a	n/a	stimulus	n/a	27022.jpg	animal_distractor	n/a
148.1500000000	n/a	n/a	stimulus	n/a	25040.jpg	animal_distractor	n/a
150.0690000000	n/a	n/a	stimulus	n/a	138081.jpg	animal_distractor	n/a
152.2470000000	n/a	n/a	stimulus	n/a	22002.jpg	animal_distractor	n/a
154.4080000000	n/a	n/a	stimulus	n/a	374021.jpg	animal_distractor	n/a
156.3390000000	n/a	n/a	stimulus	430	317083.jpg	animal_target	n/a
156.7690000000	n/a	n/a	response	n/a	n/a	correct	n/a
158.2540000000	n/a	n/a	stimulus	n/a	67040.jpg	animal_distractor	n/a
160.2310000000	n/a	n/a	stimulus	n/a	121017.jpg	animal_distractor	n/a
162.2870000000	n/a	n/a	stimulus	n/a	98032.jpg	animal_distractor	n/a
164.2360000000	n/a	n/a	stimulus	n/a	71041.jpg	animal_distractor	n/a
166.3840000000	n/a	n/a	stimulus	471	173003.jpg	animal_target	n/a
166.8550000000	n/a	n/a	response	n/a	n/a	correct	n/a
168.4990000000	n/a	n/a	stimulus	523	35080.jpg	animal_target	n/a
169.0220000000	n/a	n/a	response	n/a	n/a	correct	n/a
170.4960000000	n/a	n/a	stimulus	453	253014.jpg	animal_target	n/a
170.9490000000	n/a	n/a	response	n/a	n/a	correct	n/a
172.6880000000	n/a	n/a	stimulus	299	136002.jpg	animal_target	n/a
172.9870000000	n/a	n/a	response	n/a	n/a	correct	n/a
174.5520000000	n/a	n/a	stimulus	382	110041.jpg	animal_target	n/a
174.9340000000	n/a	n/a	response	n/a	n/a	correct	n/a
176.6590000000	n/a	n/a	stimulus	295	32095.jpg	animal_distractor	n/a
176.9540000000	n/a	n/a	response	n/a	n/a	incorrect	n/a
178.5370000000	n/a	n/a	stimulus	406	106061.jpg	animal_target	n/a
178.9430000000	n/a	n/a	response	n/a	n/a	correct	n/a
180.5930000000	n/a	n/a	stimulus	n/a	138043.jpg	animal_distractor	n/a
182.6200000000	n/a	n/a	stimulus	n/a	266000.jpg	animal_distractor	n/a
184.5440000000	n/a	n/a	stimulus	n/a	13066.jpg	animal_distractor	n/a
186.6300000000	n/a	n/a	stimulus	n/a	83098.jpg	animal_distractor	n/a
188.5590000000	n/a	n/a	stimulus	410	196040.jpg	animal_target	n/a
188.9690000000	n/a	n/a	response	n/a	n/a	correct	n/a
190.3760000000	n/a	n/a	stimulus	446	240067.jpg	animal_target	n/a
190.8220000000	n/a	n/a	response	n/a	n/a	correct	n/a
192.2600000000	n/a	n/a	stimulus	333	41091.jpg	animal_target	n/a
192.5930000000	n/a	n/a	response	n/a	n/a	correct	n/a
194.4230000000	n/a	n/a	stimulus	n/a	111070.jpg	animal_distractor	n/a
196.4670000000	n/a	n/a	stimulus	n/a	116097.jpg	animal_distractor	n/a
198.6480000000	n/a	n/a	stimulus	467	35049.jpg	animal_target	n/a
199.1150000000	n/a	n/a	response	n/a	n/a	correct	n/a
200.8220000000	n/a	n/a	stimulus	n/a	102060.jpg	animal_distractor	n/a
202.9510000000	n/a	n/a	stimulus	n/a	136040.jpg	animal_target	n/a
204.8570000000	n/a	n/a	stimulus	n/a	13099.jpg	animal_distractor	n/a
206.7420000000	n/a	n/a	stimulus	542	43080.jpg	animal_target	n/a
207.2840000000	n/a	n/a	response	n/a	n/a	correct	n/a
208.7850000000	n/a	n/a	stimulus	432	6019.jpg	animal_target	n/a
209.2170000000	n/a	n/a	response	n/a	n/a	correct	n/a
