onset	duration	sample	trial_type	response_time	stim_file	value	HED
4.2920000000	n/a	n/a	stimulus	n/a	412053.jpg	nonanimal_distractor	n/a
6.2210000000	n/a	n/a	stimulus	410	334095.jpg	nonanimal_target	n/a
6.6310000000	n/a	n/a	response	n/a	n/a	correct	n/a
8.2260000000	n/a	n/a	stimulus	n/a	208044.jpg	nonanimal_distractor	n/a
10.2680000000	n/a	n/a	stimulus	n/a	2016.jpg	nonanimal_distractor	n/a
12.1000000000	n/a	n/a	stimulus	n/a	227089.jpg	nonanimal_distractor	n/a
14.0980000000	n/a	n/a	stimulus	n/a	275092.jpg	nonanimal_distractor	n/a
16.0070000000	n/a	n/a	stimulus	537	334095.jpg	nonanimal_target	n/a
16.5440000000	n/a	n/a	response	n/a	n/a	correct	n/a
17.8330000000	n/a	n/a	stimulus	386	334095.jpg	nonanimal_target	n/a
18.2190000000	n/a	n/a	response	n/a	n/a	correct	n/a
19.7060000000	n/a	n/a	stimulus	n/a	48014.jpg	nonanimal_distractor	n/a
21.7010000000	n/a	n/a	stimulus	597	334095.jpg	nonanimal_target	n/a
22.2980000000	n/a	n/a	response	n/a	n/a	correct	n/a
23.7530000000	n/a	n/a	stimulus	283	334095.jpg	nonanimal_target	n/a
24.0360000000	n/a	n/a	response	n/a	n/a	correct	n/a
25.9030000000	n/a	n/a	stimulus	262	71097.jpg	nonanimal_distractor	n/a
26.1650000000	n/a	n/a	response	n/a	n/a	incorrect	n/a
28.0780000000	n/a	n/a	stimulus	n/a	286080.jpg	nonanimal_distractor	n/a
29.9570000000	n/a	n/a	stimulus	n/a	267065.jpg	nonanimal_distractor	n/a
32.1260000000	n/a	n/a	stimulus	372	334095.jpg	nonanimal_target	n/a
32.4980000000	n/a	n/a	response	n/a	n/a	correct	n/a
34.0340000000	n/a	n/a	stimulus	n/a	102036.jpg	nonanimal_distractor	n/a
35.9720000000	n/a	n/a	stimulus	n/a	138053.jpg	nonanimal_distractor	n/a
37.9810000000	n/a	n/a	stimulus	427	334095.jpg	nonanimal_target	n/a
38.4080000000	n/a	n/a	response	n/a	n/a	correct	n/a
40.1060000000	n/a	n/a	stimulus	359	334095.jpg	nonanimal_target	n/a
40.4650000000	n/a	n/a	response	n/a	n/a	correct	n/a
42.1620000000	n/a	n/a	stimulus	350	334095.jpg	nonanimal_target	n/a
42.5120000000	n/a	n/a	response	n/a	n/a	correct	n/a
44.3480000000	n/a	n/a	stimulus	331	33025.jpg	nonanimal_distractor	n/a
44.6790000000	n/a	n/a	response	n/a	n/a	incorrect	n/a
46.2410000000	n/a	n/a	stimulus	n/a	248039.jpg	nonanimal_distractor	n/a
48.3890000000	n/a	n/a	stimulus	n/a	142096.jpg	nonanimal_distractor	n/a
50.4930000000	n/a	n/a	stimulus	n/a	102023.jpg	nonanimal_distractor	n/a
52.5360000000	n/a	n/a	stimulus	n/a	281013.jpg	nonanimal_distractor	n/a
54.5850000000	n/a	n/a	stimulus	n/a	217039.jpg	nonanimal_distractor	n/a
56.5830000000	n/a	n/a	stimulus	401	334095.jpg	nonanimal_target	n/a
56.9840000000	n/a	n/a	response	n/a	n/a	correct	n/a
58.5700000000	n/a	n/a	stimulus	376	334095.jpg	nonanimal_target	n/a
58.9460000000	n/a	n/a	response	n/a	n/a	correct	n/a
60.3850000000	n/a	n/a	stimulus	387	334095.jpg	nonanimal_target	n/a
60.7720000000	n/a	n/a	response	n/a	n/a	correct	n/a
62.2840000000	n/a	n/a	stimulus	n/a	44028.jpg	nonanimal_distractor	n/a
64.4310000000	n/a	n/a	stimulus	465	334095.jpg	nonanimal_target	n/a
64.8960000000	n/a	n/a	response	n/a	n/a	correct	n/a
66.5610000000	n/a	n/a	stimulus	n/a	93024.jpg	nonanimal_distractor	n/a
68.4850000000	n/a	n/a	stimulus	400	334095.jpg	nonanimal_target	n/a
68.8850000000	n/a	n/a	response	n/a	n/a	correct	n/a
70.5630000000	n/a	n/a	stimulus	367	334095.jpg	nonanimal_target	n/a
70.9300000000	n/a	n/a	response	n/a	n/a	correct	n/a
76.5070000000	n/a	n/a	stimulus	276	334034.jpg	nonanimal_distractor	n/a
76.7830000000	n/a	n/a	response	n/a	n/a	incorrect	n/a
78.3800000000	n/a	n/a	stimulus	432	334095.jpg	nonanimal_target	n/a
78.8120000000	n/a	n/a	response	n/a	n/a	correct	n/a
80.3460000000	n/a	n/a	stimulus	365	334095.jpg	nonanimal_target	n/a
80.7110000000	n/a	n/a	response	n/a	n/a	correct	n/a
82.2160000000	n/a	n/a	stimulus	366	334095.jpg	nonanimal_target	n/a
82.5820000000	n/a	n/a	response	n/a	n/a	correct	n/a
84.2860000000	n/a	n/a	stimulus	n/a	65106.jpg	nonanimal_distractor	n/a
86.3600000000	n/a	n/a	stimulus	346	334095.jpg	nonanimal_target	n/a
86.7060000000	n/a	n/a	response	n/a	n/a	correct	n/a
88.3320000000	n/a	n/a	stimulus	252	334095.jpg	nonanimal_target	n/a
88.5840000000	n/a	n/a	response	n/a	n/a	correct	n/a
90.2090000000	n/a	n/a	stimulus	324	334095.jpg	nonanimal_target	n/a
90.5330000000	n/a	n/a	response	n/a	n/a	correct	n/a
92.0790000000	n/a	n/a	stimulus	262	334095.jpg	nonanimal_target	n/a
92.3410000000	n/a	n/a	response	n/a	n/a	correct	n/a
93.9550000000	n/a	n/a	stimulus	201	102099.jpg	nonanimal_distractor	n/a
94.1560000000	n/a	n/a	response	n/a	n/a	incorrect	n/a
95.8820000000	n/a	n/a	stimulus	n/a	242052.jpg	nonanimal_distractor	n/a
98.0850000000	n/a	n/a	stimulus	468	334095.jpg	nonanimal_target	n/a
98.5530000000	n/a	n/a	response	n/a	n/a	correct	n/a
100.2460000000	n/a	n/a	stimulus	344	334095.jpg	nonanimal_target	n/a
100.5900000000	n/a	n/a	response	n/a	n/a	correct	n/a
102.2700000000	n/a	n/a	stimulus	364	334095.jpg	nonanimal_target	n/a
102.6340000000	n/a	n/a	response	n/a	n/a	correct	n/a
104.0870000000	n/a	n/a	stimulus	n/a	50097.jpg	nonanimal_distractor	n/a
105.9990000000	n/a	n/a	stimulus	n/a	72031.jpg	nonanimal_distractor	n/a
108.1790000000	n/a	n/a	stimulus	511	334095.jpg	nonanimal_target	n/a
108.6900000000	n/a	n/a	response	n/a	n/a	correct	n/a
110.3170000000	n/a	n/a	stimulus	356	334095.jpg	nonanimal_target	n/a
110.6730000000	n/a	n/a	response	n/a	n/a	correct	n/a
112.4250000000	n/a	n/a	stimulus	n/a	82030.jpg	nonanimal_distractor	n/a
114.2760000000	n/a	n/a	stimulus	369	334095.jpg	nonanimal_target	n/a
114.6450000000	n/a	n/a	response	n/a	n/a	correct	n/a
116.3270000000	n/a	n/a	stimulus	n/a	13054.jpg	nonanimal_distractor	n/a
118.4590000000	n/a	n/a	stimulus	n/a	363002.jpg	nonanimal_distractor	n/a
120.2900000000	n/a	n/a	stimulus	n/a	385003.jpg	nonanimal_distractor	n/a
122.3980000000	n/a	n/a	stimulus	479	334095.jpg	nonanimal_target	n/a
122.8770000000	n/a	n/a	response	n/a	n/a	correct	n/a
124.4090000000	n/a	n/a	stimulus	413	334095.jpg	nonanimal_target	n/a
124.8220000000	n/a	n/a	response	n/a	n/a	correct	n/a
126.5660000000	n/a	n/a	stimulus	373	334095.jpg	nonanimal_target	n/a
126.9390000000	n/a	n/a	response	n/a	n/a	correct	n/a
128.6730000000	n/a	n/a	stimulus	n/a	5025.jpg	nonanimal_distractor	n/a
130.5440000000	n/a	n/a	stimulus	n/a	281027.jpg	nonanimal_distractor	n/a
132.6760000000	n/a	n/a	stimulus	n/a	98013.jpg	nonanimal_distractor	n/a
134.5780000000	n/a	n/a	stimulus	443	334095.jpg	nonanimal_target	n/a
135.0210000000	n/a	n/a	response	n/a	n/a	correct	n/a
136.5460000000	n/a	n/a	stimulus	n/a	65123.jpg	nonanimal_distractor	n/a
138.5630000000	n/a	n/a	stimulus	n/a	191040.jpg	nonanimal_distractor	n/a
140.5820000000	n/a	n/a	stimulus	383	334095.jpg	nonanimal_target	n/a
140.9650000000	n/a	n/a	response	n/a	n/a	correct	n/a
142.7670000000	n/a	n/a	stimulus	n/a	27000.jpg	nonanimal_distractor	n/a
144.9040000000	n/a	n/a	stimulus	n/a	27072.jpg	nonanimal_distractor	n/a
146.9140000000	n/a	n/a	stimulus	420	334095.jpg	nonanimal_target	n/a
147.3340000000	n/a	n/a	response	n/a	n/a	correct	n/a
148.9830000000	n/a	n/a	stimulus	n/a	92087.jpg	nonanimal_distractor	n/a
150.8820000000	n/a	n/a	stimulus	521	334095.jpg	nonanimal_target	n/a
151.4030000000	n/a	n/a	response	n/a	n/a	correct	n/a
152.7990000000	n/a	n/a	stimulus	n/a	121029.jpg	nonanimal_distractor	n/a
154.7950000000	n/a	n/a	stimulus	435	334095.jpg	nonanimal_target	n/a
155.2300000000	n/a	n/a	response	n/a	n/a	correct	n/a
156.7380000000	n/a	n/a	stimulus	524	334095.jpg	nonanimal_target	n/a
157.2620000000	n/a	n/a	response	n/a	n/a	correct	n/a
158.5820000000	n/a	n/a	stimulus	n/a	332084.jpg	nonanimal_distractor	n/a
160.6890000000	n/a	n/a	stimulus	n/a	208058.jpg	nonanimal_distractor	n/a
162.5960000000	n/a	n/a	stimulus	537	334095.jpg	nonanimal_target	n/a
163.1330000000	n/a	n/a	response	n/a	n/a	correct	n/a
164.6150000000	n/a	n/a	stimulus	513	334095.jpg	nonanimal_target	n/a
165.1280000000	n/a	n/a	response	n/a	n/a	correct	n/a
166.5020000000	n/a	n/a	stimulus	n/a	46024.jpg	nonanimal_distractor	n/a
168.6920000000	n/a	n/a	stimulus	466	334095.jpg	nonanimal_target	n/a
169.1580000000	n/a	n/a	response	n/a	n/a	correct	n/a
170.5280000000	n/a	n/a	stimulus	n/a	318004.jpg	nonanimal_distractor	n/a
172.6390000000	n/a	n/a	stimulus	464	334095.jpg	nonanimal_target	n/a
173.1030000000	n/a	n/a	response	n/a	n/a	correct	n/a
174.6350000000	n/a	n/a	stimulus	356	266074.jpg	nonanimal_distractor	n/a
174.9910000000	n/a	n/a	response	n/a	n/a	incorrect	n/a
176.7250000000	n/a	n/a	stimulus	463	334095.jpg	nonanimal_target	n/a
177.1880000000	n/a	n/a	response	n/a	n/a	correct	n/a
178.8520000000	n/a	n/a	stimulus	n/a	86038.jpg	nonanimal_distractor	n/a
181.0380000000	n/a	n/a	stimulus	492	334095.jpg	nonanimal_target	n/a
181.5300000000	n/a	n/a	response	n/a	n/a	correct	n/a
183.2320000000	n/a	n/a	stimulus	n/a	48098.jpg	nonanimal_distractor	n/a
185.3590000000	n/a	n/a	stimulus	518	334095.jpg	nonanimal_target	n/a
185.8770000000	n/a	n/a	response	n/a	n/a	correct	n/a
187.3640000000	n/a	n/a	stimulus	414	334095.jpg	nonanimal_target	n/a
187.7780000000	n/a	n/a	response	n/a	n/a	correct	n/a
189.3940000000	n/a	n/a	stimulus	n/a	115093.jpg	nonanimal_distractor	n/a
191.5860000000	n/a	n/a	stimulus	450	334095.jpg	nonanimal_target	n/a
192.0360000000	n/a	n/a	response	n/a	n/a	correct	n/a
193.6770000000	n/a	n/a	stimulus	432	334095.jpg	nonanimal_target	n/a
194.1090000000	n/a	n/a	response	n/a	n/a	correct	n/a
