onset	duration	sample	trial_type	response_time	stim_file	value	HED
5.0350000000	n/a	n/a	stimulus	335	105064.jpg	animal_target	n/a
5.3700000000	n/a	n/a	response	n/a	n/a	correct	n/a
6.8370000000	n/a	n/a	stimulus	n/a	38068.jpg	animal_distractor	n/a
8.6510000000	n/a	n/a	stimulus	289	136095.jpg	animal_target	n/a
8.9400000000	n/a	n/a	response	n/a	n/a	correct	n/a
10.8010000000	n/a	n/a	stimulus	n/a	38014.jpg	animal_distractor	n/a
12.6840000000	n/a	n/a	stimulus	n/a	82063.jpg	animal_distractor	n/a
14.5950000000	n/a	n/a	stimulus	308	52036.jpg	animal_target	n/a
14.9030000000	n/a	n/a	response	n/a	n/a	correct	n/a
16.6700000000	n/a	n/a	stimulus	n/a	151079.jpg	animal_distractor	n/a
18.6050000000	n/a	n/a	stimulus	n/a	297055.jpg	animal_distractor	n/a
20.4770000000	n/a	n/a	stimulus	347	49015.jpg	animal_target	n/a
20.8240000000	n/a	n/a	response	n/a	n/a	correct	n/a
22.4320000000	n/a	n/a	stimulus	n/a	25076.jpg	animal_distractor	n/a
24.4090000000	n/a	n/a	stimulus	278	6043.jpg	animal_target	n/a
24.6870000000	n/a	n/a	response	n/a	n/a	correct	n/a
26.2490000000	n/a	n/a	stimulus	n/a	132015.jpg	animal_distractor	n/a
28.2450000000	n/a	n/a	stimulus	n/a	363045.jpg	animal_distractor	n/a
30.0790000000	n/a	n/a	stimulus	418	335092.jpg	animal_target	n/a
30.4970000000	n/a	n/a	response	n/a	n/a	correct	n/a
32.2220000000	n/a	n/a	stimulus	n/a	48072.jpg	animal_distractor	n/a
34.0520000000	n/a	n/a	stimulus	n/a	116029.jpg	animal_distractor	n/a
35.9760000000	n/a	n/a	stimulus	285	105008.jpg	animal_target	n/a
36.2610000000	n/a	n/a	response	n/a	n/a	correct	n/a
38.1490000000	n/a	n/a	stimulus	n/a	138084.jpg	animal_distractor	n/a
40.1020000000	n/a	n/a	stimulus	270	105055.jpg	animal_target	n/a
40.3720000000	n/a	n/a	response	n/a	n/a	correct	n/a
42.2170000000	n/a	n/a	stimulus	278	112053.jpg	animal_target	n/a
42.4950000000	n/a	n/a	response	n/a	n/a	correct	n/a
44.1540000000	n/a	n/a	stimulus	247	216028.jpg	animal_target	n/a
44.4010000000	n/a	n/a	response	n/a	n/a	correct	n/a
46.2400000000	n/a	n/a	stimulus	263	8051.jpg	animal_target	n/a
46.5030000000	n/a	n/a	response	n/a	n/a	correct	n/a
48.3840000000	n/a	n/a	stimulus	284	234005.jpg	animal_distractor	n/a
48.6680000000	n/a	n/a	response	n/a	n/a	incorrect	n/a
50.4770000000	n/a	n/a	stimulus	n/a	116006.jpg	animal_distractor	n/a
52.4050000000	n/a	n/a	stimulus	n/a	116022.jpg	animal_distractor	n/a
54.2770000000	n/a	n/a	stimulus	306	209077.jpg	animal_target	n/a
54.5830000000	n/a	n/a	response	n/a	n/a	correct	n/a
56.2140000000	n/a	n/a	stimulus	367	378006.jpg	animal_target	n/a
56.5810000000	n/a	n/a	response	n/a	n/a	correct	n/a
58.2060000000	n/a	n/a	stimulus	387	107024.jpg	animal_target	n/a
58.5930000000	n/a	n/a	response	n/a	n/a	correct	n/a
60.1110000000	n/a	n/a	stimulus	329	163072.jpg	animal_target	n/a
60.4400000000	n/a	n/a	response	n/a	n/a	correct	n/a
62.2480000000	n/a	n/a	stimulus	411	35195.jpg	animal_target	n/a
62.6590000000	n/a	n/a	response	n/a	n/a	correct	n/a
64.1650000000	n/a	n/a	stimulus	402	210055.jpg	animal_target	n/a
64.5670000000	n/a	n/a	response	n/a	n/a	correct	n/a
66.1630000000	n/a	n/a	stimulus	393	8037.jpg	animal_target	n/a
66.5560000000	n/a	n/a	response	n/a	n/a	correct	n/a
68.0300000000	n/a	n/a	stimulus	n/a	132079.jpg	animal_distractor	n/a
70.1900000000	n/a	n/a	stimulus	n/a	69013.jpg	animal_distractor	n/a
72.1110000000	n/a	n/a	stimulus	334	107082.jpg	animal_target	n/a
72.4450000000	n/a	n/a	response	n/a	n/a	correct	n/a
74.2260000000	n/a	n/a	stimulus	n/a	67099.jpg	animal_distractor	n/a
76.4220000000	n/a	n/a	stimulus	n/a	86040.jpg	animal_distractor	n/a
78.4260000000	n/a	n/a	stimulus	n/a	73096.jpg	animal_distractor	n/a
80.5880000000	n/a	n/a	stimulus	392	268043.jpg	animal_target	n/a
80.9800000000	n/a	n/a	response	n/a	n/a	correct	n/a
82.7240000000	n/a	n/a	stimulus	n/a	2008.jpg	animal_distractor	n/a
84.5390000000	n/a	n/a	stimulus	n/a	93007.jpg	animal_distractor	n/a
86.4010000000	n/a	n/a	stimulus	346	336049.jpg	animal_target	n/a
86.7470000000	n/a	n/a	response	n/a	n/a	correct	n/a
88.2650000000	n/a	n/a	stimulus	n/a	2025.jpg	animal_distractor	n/a
90.2720000000	n/a	n/a	stimulus	n/a	56058.jpg	animal_distractor	n/a
92.0860000000	n/a	n/a	stimulus	288	173024.jpg	animal_target	n/a
92.3740000000	n/a	n/a	response	n/a	n/a	correct	n/a
94.1290000000	n/a	n/a	stimulus	324	112057.jpg	animal_target	n/a
94.4530000000	n/a	n/a	response	n/a	n/a	correct	n/a
95.9390000000	n/a	n/a	stimulus	325	104000.jpg	animal_target	n/a
96.2640000000	n/a	n/a	response	n/a	n/a	correct	n/a
98.0550000000	n/a	n/a	stimulus	n/a	86023.jpg	animal_distractor	n/a
100.1210000000	n/a	n/a	stimulus	290	163042.jpg	animal_target	n/a
100.4110000000	n/a	n/a	response	n/a	n/a	correct	n/a
102.2350000000	n/a	n/a	stimulus	n/a	151040.jpg	animal_distractor	n/a
104.3250000000	n/a	n/a	stimulus	n/a	279063.jpg	animal_distractor	n/a
106.3530000000	n/a	n/a	stimulus	n/a	374091.jpg	animal_distractor	n/a
108.2420000000	n/a	n/a	stimulus	n/a	28025.jpg	animal_distractor	n/a
110.3200000000	n/a	n/a	stimulus	309	378070.jpg	animal_target	n/a
110.6290000000	n/a	n/a	response	n/a	n/a	correct	n/a
112.3640000000	n/a	n/a	stimulus	n/a	138067.jpg	animal_distractor	n/a
114.5520000000	n/a	n/a	stimulus	n/a	5079.jpg	animal_distractor	n/a
116.6160000000	n/a	n/a	stimulus	268	240031.jpg	animal_target	n/a
116.8840000000	n/a	n/a	response	n/a	n/a	correct	n/a
118.8220000000	n/a	n/a	stimulus	302	173053.jpg	animal_target	n/a
119.1240000000	n/a	n/a	response	n/a	n/a	correct	n/a
