onset	duration	sample	trial_type	response_time	stim_file	value	HED
2.7930000000	n/a	n/a	stimulus	n/a	2085.jpg	animal_distractor	n/a
4.7740000000	n/a	n/a	stimulus	472	19041.jpg	animal_target	n/a
5.2460000000	n/a	n/a	response	n/a	n/a	correct	n/a
6.6530000000	n/a	n/a	stimulus	n/a	147005.jpg	animal_distractor	n/a
8.6720000000	n/a	n/a	stimulus	504	159002.jpg	animal_target	n/a
9.1760000000	n/a	n/a	response	n/a	n/a	correct	n/a
10.6180000000	n/a	n/a	stimulus	n/a	111066.jpg	animal_distractor	n/a
12.7590000000	n/a	n/a	stimulus	365	183096.jpg	animal_target	n/a
13.1240000000	n/a	n/a	response	n/a	n/a	correct	n/a
14.7360000000	n/a	n/a	stimulus	429	43010.jpg	animal_target	n/a
15.1650000000	n/a	n/a	response	n/a	n/a	correct	n/a
16.9280000000	n/a	n/a	stimulus	311	216030.jpg	animal_target	n/a
17.2390000000	n/a	n/a	response	n/a	n/a	correct	n/a
19.0710000000	n/a	n/a	stimulus	n/a	279046.jpg	animal_distractor	n/a
20.9270000000	n/a	n/a	stimulus	n/a	86054.jpg	animal_distractor	n/a
23.0970000000	n/a	n/a	stimulus	377	311037.jpg	animal_target	n/a
23.4740000000	n/a	n/a	response	n/a	n/a	correct	n/a
25.1330000000	n/a	n/a	stimulus	n/a	86025.jpg	animal_distractor	n/a
27.2260000000	n/a	n/a	stimulus	394	105003.jpg	animal_target	n/a
27.6200000000	n/a	n/a	response	n/a	n/a	correct	n/a
29.4240000000	n/a	n/a	stimulus	396	141017.jpg	animal_target	n/a
29.8200000000	n/a	n/a	response	n/a	n/a	correct	n/a
31.4260000000	n/a	n/a	stimulus	478	43018.jpg	animal_target	n/a
31.9040000000	n/a	n/a	response	n/a	n/a	correct	n/a
33.2770000000	n/a	n/a	stimulus	418	104045.jpg	animal_target	n/a
33.6950000000	n/a	n/a	response	n/a	n/a	correct	n/a
35.0900000000	n/a	n/a	stimulus	n/a	27001.jpg	animal_distractor	n/a
37.2210000000	n/a	n/a	stimulus	379	8039.jpg	animal_target	n/a
37.6000000000	n/a	n/a	response	n/a	n/a	correct	n/a
39.3950000000	n/a	n/a	stimulus	n/a	13053.jpg	animal_distractor	n/a
41.4580000000	n/a	n/a	stimulus	n/a	147009.jpg	animal_distractor	n/a
43.6370000000	n/a	n/a	stimulus	n/a	111069.jpg	animal_distractor	n/a
45.7680000000	n/a	n/a	stimulus	485	134061.jpg	animal_target	n/a
46.2530000000	n/a	n/a	response	n/a	n/a	correct	n/a
47.6430000000	n/a	n/a	stimulus	n/a	126004.jpg	animal_distractor	n/a
49.8030000000	n/a	n/a	stimulus	n/a	121046.jpg	animal_distractor	n/a
51.7350000000	n/a	n/a	stimulus	n/a	124095.jpg	animal_distractor	n/a
53.5460000000	n/a	n/a	stimulus	412	141068.jpg	animal_target	n/a
53.9580000000	n/a	n/a	response	n/a	n/a	correct	n/a
55.7380000000	n/a	n/a	stimulus	475	104055.jpg	animal_target	n/a
56.2130000000	n/a	n/a	response	n/a	n/a	correct	n/a
57.9100000000	n/a	n/a	stimulus	n/a	112014.jpg	animal_target	n/a
59.9900000000	n/a	n/a	stimulus	n/a	35036.jpg	animal_target	n/a
62.0770000000	n/a	n/a	stimulus	424	253081.jpg	animal_target	n/a
62.5010000000	n/a	n/a	response	n/a	n/a	correct	n/a
63.9030000000	n/a	n/a	stimulus	n/a	71077.jpg	animal_distractor	n/a
65.9110000000	n/a	n/a	stimulus	374	104091.jpg	animal_target	n/a
66.2850000000	n/a	n/a	response	n/a	n/a	correct	n/a
68.0370000000	n/a	n/a	stimulus	n/a	111063.jpg	animal_distractor	n/a
70.1530000000	n/a	n/a	stimulus	423	130058.jpg	animal_target	n/a
70.5760000000	n/a	n/a	response	n/a	n/a	correct	n/a
72.3500000000	n/a	n/a	stimulus	n/a	340029.jpg	animal_distractor	n/a
74.5250000000	n/a	n/a	stimulus	349	317055.jpg	animal_target	n/a
74.8740000000	n/a	n/a	response	n/a	n/a	correct	n/a
76.4050000000	n/a	n/a	stimulus	n/a	318014.jpg	animal_distractor	n/a
78.4860000000	n/a	n/a	stimulus	n/a	197040.jpg	animal_target	n/a
80.4230000000	n/a	n/a	stimulus	348	41048.jpg	animal_target	n/a
80.7710000000	n/a	n/a	response	n/a	n/a	correct	n/a
82.6090000000	n/a	n/a	stimulus	468	268067.jpg	animal_target	n/a
83.0770000000	n/a	n/a	response	n/a	n/a	correct	n/a
84.4800000000	n/a	n/a	stimulus	n/a	5018.jpg	animal_distractor	n/a
86.3900000000	n/a	n/a	stimulus	n/a	5082.jpg	animal_distractor	n/a
88.4500000000	n/a	n/a	stimulus	400	289045.jpg	animal_target	n/a
88.8500000000	n/a	n/a	response	n/a	n/a	correct	n/a
90.4720000000	n/a	n/a	stimulus	521	253054.jpg	animal_target	n/a
90.9930000000	n/a	n/a	response	n/a	n/a	correct	n/a
92.4160000000	n/a	n/a	stimulus	455	6026.jpg	animal_target	n/a
92.8710000000	n/a	n/a	response	n/a	n/a	correct	n/a
94.3870000000	n/a	n/a	stimulus	n/a	174018.jpg	animal_distractor	n/a
96.3900000000	n/a	n/a	stimulus	n/a	374097.jpg	animal_distractor	n/a
98.2630000000	n/a	n/a	stimulus	n/a	175062.jpg	animal_target	n/a
100.3210000000	n/a	n/a	stimulus	497	141064.jpg	animal_target	n/a
100.8180000000	n/a	n/a	response	n/a	n/a	correct	n/a
102.3510000000	n/a	n/a	stimulus	n/a	158003.jpg	animal_distractor	n/a
104.3800000000	n/a	n/a	stimulus	n/a	69091.jpg	animal_distractor	n/a
106.5550000000	n/a	n/a	stimulus	498	108081.jpg	animal_target	n/a
107.0530000000	n/a	n/a	response	n/a	n/a	correct	n/a
108.3750000000	n/a	n/a	stimulus	n/a	116063.jpg	animal_distractor	n/a
110.3180000000	n/a	n/a	stimulus	n/a	83067.jpg	animal_distractor	n/a
112.3240000000	n/a	n/a	stimulus	419	35103.jpg	animal_target	n/a
112.7430000000	n/a	n/a	response	n/a	n/a	correct	n/a
114.1460000000	n/a	n/a	stimulus	498	307004.jpg	animal_target	n/a
114.6440000000	n/a	n/a	response	n/a	n/a	correct	n/a
115.9780000000	n/a	n/a	stimulus	n/a	172021.jpg	animal_distractor	n/a
118.1100000000	n/a	n/a	stimulus	446	158099.jpg	animal_distractor	n/a
118.5560000000	n/a	n/a	response	n/a	n/a	incorrect	n/a
119.9280000000	n/a	n/a	stimulus	n/a	50054.jpg	animal_distractor	n/a
121.7670000000	n/a	n/a	stimulus	n/a	83073.jpg	animal_distractor	n/a
123.7300000000	n/a	n/a	stimulus	n/a	297086.jpg	animal_distractor	n/a
125.6690000000	n/a	n/a	stimulus	396	108064.jpg	animal_target	n/a
126.0650000000	n/a	n/a	response	n/a	n/a	correct	n/a
127.7010000000	n/a	n/a	stimulus	n/a	63048.jpg	animal_distractor	n/a
129.6060000000	n/a	n/a	stimulus	543	6072.jpg	animal_target	n/a
130.1490000000	n/a	n/a	response	n/a	n/a	correct	n/a
131.8150000000	n/a	n/a	stimulus	497	66060.jpg	animal_target	n/a
132.3120000000	n/a	n/a	response	n/a	n/a	correct	n/a
133.9110000000	n/a	n/a	stimulus	n/a	116038.jpg	animal_distractor	n/a
135.8310000000	n/a	n/a	stimulus	424	253015.jpg	animal_target	n/a
136.2550000000	n/a	n/a	response	n/a	n/a	correct	n/a
137.7980000000	n/a	n/a	stimulus	534	104064.jpg	animal_target	n/a
138.3320000000	n/a	n/a	response	n/a	n/a	correct	n/a
139.6770000000	n/a	n/a	stimulus	n/a	32071.jpg	animal_distractor	n/a
141.6800000000	n/a	n/a	stimulus	n/a	102050.jpg	animal_distractor	n/a
143.6690000000	n/a	n/a	stimulus	392	163074.jpg	animal_target	n/a
144.0610000000	n/a	n/a	response	n/a	n/a	correct	n/a
145.8160000000	n/a	n/a	stimulus	n/a	22093.jpg	animal_distractor	n/a
147.9620000000	n/a	n/a	stimulus	n/a	111001.jpg	animal_distractor	n/a
149.8640000000	n/a	n/a	stimulus	n/a	92011.jpg	animal_distractor	n/a
151.8270000000	n/a	n/a	stimulus	n/a	8170.jpg	animal_target	n/a
154.0010000000	n/a	n/a	stimulus	535	317076.jpg	animal_target	n/a
154.5360000000	n/a	n/a	response	n/a	n/a	correct	n/a
155.9110000000	n/a	n/a	stimulus	437	105054.jpg	animal_target	n/a
156.3480000000	n/a	n/a	response	n/a	n/a	correct	n/a
157.8570000000	n/a	n/a	stimulus	n/a	32074.jpg	animal_distractor	n/a
159.8300000000	n/a	n/a	stimulus	455	289041.jpg	animal_target	n/a
160.2850000000	n/a	n/a	response	n/a	n/a	correct	n/a
161.9560000000	n/a	n/a	stimulus	n/a	56038.jpg	animal_distractor	n/a
163.7790000000	n/a	n/a	stimulus	n/a	82055.jpg	animal_distractor	n/a
165.8860000000	n/a	n/a	stimulus	n/a	174058.jpg	animal_distractor	n/a
167.9510000000	n/a	n/a	stimulus	472	19005.jpg	animal_distractor	n/a
168.4230000000	n/a	n/a	response	n/a	n/a	incorrect	n/a
169.9260000000	n/a	n/a	stimulus	n/a	138047.jpg	animal_distractor	n/a
171.7440000000	n/a	n/a	stimulus	452	134019.jpg	animal_target	n/a
172.1960000000	n/a	n/a	response	n/a	n/a	correct	n/a
173.6990000000	n/a	n/a	stimulus	371	304036.jpg	animal_target	n/a
174.0700000000	n/a	n/a	response	n/a	n/a	correct	n/a
175.7330000000	n/a	n/a	stimulus	362	326016.jpg	animal_target	n/a
176.0950000000	n/a	n/a	response	n/a	n/a	correct	n/a
177.5840000000	n/a	n/a	stimulus	n/a	374038.jpg	animal_distractor	n/a
179.5460000000	n/a	n/a	stimulus	n/a	131043.jpg	animal_distractor	n/a
181.5170000000	n/a	n/a	stimulus	424	35192.jpg	animal_target	n/a
181.9410000000	n/a	n/a	response	n/a	n/a	correct	n/a
183.5530000000	n/a	n/a	stimulus	n/a	86015.jpg	animal_distractor	n/a
185.5030000000	n/a	n/a	stimulus	n/a	248009.jpg	animal_distractor	n/a
187.3280000000	n/a	n/a	stimulus	427	210012.jpg	animal_target	n/a
187.7550000000	n/a	n/a	response	n/a	n/a	correct	n/a
189.4260000000	n/a	n/a	stimulus	440	304092.jpg	animal_target	n/a
